Age,Course,Gender,CGPA,Sleep_Quality,Physical_Activity,Diet_Quality,Social_Support,Substance_Use,Financial_Stress,Emotional_Distress,Mental_Health
25.0,5,1,3.56,1,2,1,2,1,2.0,3.0,0
24.0,2,0,2.44,0,1,0,1,2,3.0,2.0,1
19.0,0,0,3.74,1,1,0,2,1,4.0,3.0,0
18.0,0,1,3.4,1,1,0,0,1,2.0,3.0,0
21.0,4,0,3.35,1,2,1,0,1,5.0,3.0,0
18.0,3,1,3.65,1,2,0,2,1,4.0,3.0,1
21.0,0,0,3.4,0,1,0,1,1,3.0,3.0,0
24.0,4,1,3.8,2,1,0,2,0,2.0,2.0,0
22.0,1,1,3.19,0,2,0,2,1,1.0,2.0,0
27.0,4,1,3.26,0,2,0,0,1,1.0,2.0,1
24.0,4,0,3.2,0,1,2,2,1,2.0,3.0,0
25.0,3,1,3.61,1,1,0,2,1,4.0,3.0,0
18.0,4,0,3.85,1,1,0,2,1,1.0,3.0,0
19.0,4,1,3.26,1,1,0,0,1,4.0,2.0,0
22.0,1,1,3.46,1,2,0,2,1,4.0,2.0,1
20.0,4,1,3.43,1,0,0,1,2,3.0,2.0,0
20.0,0,1,3.38,0,2,0,1,1,4.0,3.0,1
27.0,1,1,3.56,1,0,1,0,1,4.0,2.0,1
31.0,4,0,3.5,0,2,0,0,1,3.0,4.0,1
18.0,1,0,3.6,1,1,0,1,1,2.0,3.0,0
26.0,3,1,3.08,0,2,2,1,1,4.0,2.0,1
24.0,1,0,3.43,1,2,0,2,1,5.0,2.0,1
19.0,5,1,3.21,1,2,0,2,1,4.0,2.0,1
22.0,2,0,3.62,0,0,0,2,1,5.0,2.0,1
22.0,2,0,3.16,1,1,0,2,1,3.0,3.0,1
26.0,1,0,3.71,1,2,0,0,1,3.0,2.0,1
22.0,3,0,3.38,0,1,1,2,1,2.0,3.0,1
25.0,2,0,3.48,0,1,2,0,1,2.0,2.0,1
26.0,4,1,3.27,1,0,0,2,1,5.0,3.0,1
18.0,1,1,3.41,0,0,0,1,1,1.0,2.0,0
18.0,3,1,3.22,1,2,0,0,1,2.0,4.0,0
19.0,3,1,3.16,0,2,0,2,1,1.0,3.0,1
19.0,3,0,3.71,0,2,0,2,1,2.0,3.0,1
23.0,2,0,3.65,1,2,0,1,1,2.0,3.0,1
21.0,1,0,3.33,1,2,0,2,1,5.0,4.0,0
19.0,3,0,3.01,1,0,0,0,2,2.0,4.0,1
30.0,4,0,3.97,1,2,1,2,1,1.0,3.0,0
19.0,3,1,4.0,1,1,2,2,2,3.0,3.0,0
22.0,4,1,3.62,1,2,0,2,1,2.0,2.0,0
25.0,4,0,3.63,0,2,1,0,1,2.0,3.0,0
22.0,3,0,2.99,1,1,2,1,1,2.0,3.0,0
32.0,2,0,3.02,1,1,0,2,1,2.0,2.0,1
18.0,3,0,3.66,1,2,0,0,1,2.0,3.0,1
27.0,2,1,3.09,1,2,2,2,1,3.0,2.0,1
20.0,4,1,3.12,0,2,2,2,1,2.0,2.0,1
19.0,1,0,3.82,0,1,0,0,0,4.0,3.0,0
19.0,4,0,3.23,0,2,1,0,1,4.0,3.0,1
23.0,0,0,3.7,0,1,0,1,1,4.0,2.0,1
22.0,1,0,3.6,0,2,1,2,1,2.0,3.0,0
29.0,0,1,3.73,1,2,0,2,1,2.0,5.0,1
22.0,4,1,3.63,1,2,0,2,1,1.0,4.0,0
25.0,1,1,3.79,2,2,0,0,1,1.0,4.0,1
24.0,2,1,3.59,0,1,2,1,1,5.0,3.0,0
24.0,5,0,3.62,1,1,0,1,1,4.0,2.0,1
20.0,4,0,4.0,0,0,0,0,1,2.0,3.0,1
23.0,4,0,3.34,1,1,0,0,0,4.0,3.0,0
22.0,3,1,3.59,0,2,1,2,1,2.0,3.0,0
27.0,1,1,3.87,1,0,2,2,1,1.0,3.0,0
24.0,0,0,4.0,2,1,0,0,1,4.0,2.0,0
29.0,4,1,3.24,1,0,0,2,1,5.0,3.0,0
29.0,5,0,3.82,0,2,0,2,1,2.0,4.0,0
23.0,0,1,3.44,0,0,0,1,2,4.0,3.0,0
26.0,5,0,3.09,1,1,0,2,1,2.0,2.0,0
27.0,2,1,3.1,1,2,0,2,1,4.0,3.0,1
23.0,4,1,3.25,1,0,2,2,1,1.0,3.0,1
19.0,4,1,3.73,1,0,0,2,1,2.0,2.0,0
22.0,2,0,3.53,2,2,0,1,1,4.0,3.0,1
21.0,3,1,3.0,0,2,0,0,1,3.0,2.0,1
31.0,5,0,3.73,1,2,0,2,1,2.0,3.0,1
29.0,3,1,3.79,0,2,0,2,2,2.0,4.0,1
28.0,3,0,4.0,1,2,0,2,2,4.0,2.0,0
24.0,1,0,3.29,1,2,0,2,1,1.0,4.0,1
24.0,1,0,3.0,1,1,0,2,1,3.0,2.0,0
19.0,3,0,3.46,1,1,2,1,1,4.0,3.0,1
24.0,3,1,2.98,0,0,2,0,1,2.0,3.0,1
19.0,2,0,3.29,1,1,1,0,1,4.0,3.0,1
23.0,3,0,3.04,0,1,1,1,1,4.0,3.0,0
25.0,1,0,4.0,1,2,0,0,1,5.0,3.0,1
25.0,3,1,4.0,2,2,2,1,1,5.0,2.0,0
21.0,1,0,3.51,0,0,0,2,1,2.0,2.0,1
23.0,4,1,3.6,1,2,0,0,1,3.0,3.0,0
30.0,4,1,4.0,1,2,0,0,1,3.0,3.0,1
23.0,0,1,3.75,1,1,2,2,1,5.0,2.0,0
18.0,4,0,3.33,0,1,0,1,1,1.0,3.0,0
26.0,3,0,3.61,2,1,2,2,1,4.0,1.0,1
21.0,3,1,4.0,0,1,2,2,1,5.0,2.0,0
22.0,4,1,3.86,0,2,2,2,1,2.0,3.0,1
19.0,0,1,3.12,0,2,0,1,1,2.0,2.0,1
25.0,5,1,3.78,0,2,2,2,1,2.0,4.0,1
22.0,4,0,3.77,1,2,2,0,1,4.0,4.0,1
19.0,3,1,3.72,0,1,1,1,1,3.0,3.0,1
19.0,4,1,3.26,0,2,0,1,1,5.0,3.0,1
24.0,4,0,3.45,0,0,1,1,1,3.0,2.0,1
22.0,4,0,3.97,1,2,2,2,1,3.0,3.0,1
24.0,4,0,3.06,2,2,0,2,1,2.0,3.0,1
21.0,4,0,3.05,1,1,0,2,1,1.0,3.0,1
28.0,4,0,3.84,1,1,2,0,1,2.0,2.0,1
27.0,1,0,3.92,0,0,2,2,1,4.0,4.0,0
21.0,4,0,3.43,2,2,0,2,1,5.0,2.0,0
18.0,1,1,3.53,1,0,0,2,1,5.0,3.0,1
23.0,1,0,3.44,1,2,0,2,1,4.0,3.0,1
18.0,0,0,3.71,1,0,0,1,0,1.0,2.0,1
26.0,1,1,3.01,1,2,0,0,1,2.0,3.0,1
26.0,1,1,3.28,0,2,1,2,1,2.0,2.0,1
27.0,2,0,4.0,1,2,1,1,1,2.0,3.0,1
23.0,2,0,2.86,0,2,1,2,1,4.0,3.0,1
20.0,2,0,3.64,0,2,0,2,1,5.0,3.0,1
23.0,2,0,3.1,1,0,1,0,1,2.0,2.0,0
22.0,1,1,3.59,2,0,1,2,1,3.0,2.0,1
28.0,0,0,3.12,1,1,0,0,2,4.0,2.0,0
24.0,2,1,3.37,1,1,0,1,1,3.0,2.0,1
25.0,1,1,3.78,1,2,1,0,1,1.0,3.0,1
26.0,4,0,3.62,0,1,1,2,1,1.0,2.0,0
25.0,1,1,3.28,1,2,0,2,1,1.0,3.0,1
24.0,0,1,3.64,0,2,0,2,1,1.0,2.0,0
19.0,1,1,3.65,1,2,0,2,1,1.0,2.0,1
21.0,4,1,3.09,0,0,0,0,2,2.0,3.0,1
19.0,4,1,3.75,0,1,0,0,1,2.0,2.0,0
23.0,4,1,3.77,1,2,1,2,1,4.0,3.0,1
18.0,2,1,3.33,1,2,0,2,2,2.0,2.0,0
20.0,3,0,3.54,0,2,0,1,1,2.0,3.0,1
29.0,0,0,3.12,1,1,0,2,2,3.0,3.0,0
21.0,1,1,3.73,0,2,0,2,1,2.0,1.0,0
18.0,3,0,3.26,1,1,0,1,1,2.0,3.0,1
24.0,4,0,3.41,0,2,1,2,1,4.0,3.0,1
18.0,4,1,3.31,0,2,0,1,1,3.0,3.0,0
25.0,1,0,3.51,0,2,0,1,1,5.0,3.0,1
20.0,2,1,3.19,0,1,0,2,2,3.0,3.0,1
21.0,4,0,3.72,1,2,1,0,2,2.0,3.0,1
19.0,3,0,3.94,0,2,0,0,1,2.0,4.0,0
